Ngay,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
14/01/2021,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5
15/01/2021,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.6,1061.6,1061.6,1061.6,1061.6,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.5,1061.5,1061.5,1061.5
16/01/2021,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1061.5,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6
17/01/2021,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,984.1,988.3,988.3,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4
18/01/2021,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1058.1,1058,1058,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5
19/01/2021,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4
20/01/2021,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1060.3,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4
21/01/2021,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1061.5,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4
22/01/2021,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.6,1061.6,1061.6,1061.6,1061.5,1061.5,1061.5,1061.5,1061.5,1052.4,1061.5,1061.5,1061.5,1061.5,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.5,1061.5,1061.5
23/01/2021,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1011,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7
